email,first_name,id,last_name,password,role
teacher1@school.com,Renee,1,Sanchez,password,2
teacher2@school.com,Marcus,2,Gonzales,password,2
teacher3@school.com,Patricia,3,Howard,password,2
teacher4@school.com,Robert,4,Liu,password,2
teacher5@school.com,Michael,5,Robinson,password,2
teacher6@school.com,Emma,6,Gutierrez,password,2
teacher7@school.com,Kevin,7,Powell,password,2
teacher8@school.com,Hannah,8,Liu,password,2
teacher9@school.com,Cynthia,9,Gutierrez,password,2
teacher10@school.com,Christina,10,Poole,password,2
